file_number,message_id,title,author
132000,message #410149,How to specify constraints or valid literals for EDataTypes in ecore metamodel,Claes Rosell
132001,message #410150,OCL validation annotation on EDataType,Eclipse User
132002,message #410151,How to set reference to another EObject?,Norbert  Schöpke
132003,message #410152,Resolving Proxies using the Transactional API,Jose Alfredo Serrano
132004,message #410155,about 'getString in 'getText',Victor Sanchez
132005,message #410156,How to insert a java.util.Date value,Stefan Bley
132006,message #410157,EMFT Validation and Eclipse Refactoring,Sascha Theves
132007,message #410166,Edit code when using Generics,Stefan Bley
132008,message #410172,Why use XSD annotations than xsd:appinfo?,Matthew Rawlings
132009,message #410173,Associate Relationships,Eclipse User
132010,message #410182,Beginner: Modification of properties in ECore (for all EAttribute/EReference),Morten MacFly
132011,message #410188,EMF 2.3 Maven Repository,Ole Ersoy
132012,message #410191,intrinsic uuid for xsd conformance,Hans Boerstra
132013,message #410207,Re: Refresh the eResource when an java.io.File is renamed,Paul Webster
132014,message #410213,EReference.eKeys and code generation,Eclipse User
132015,message #410223,Article about combining EMF and GMF editors - anybody interested?,Volker Wegert
132016,message #410225,EMF in Groovy,Joern Dinkla
132017,message #410227,Java Validation problem,Tex Twil
132018,message #410228,Run XML file throught XSLT parser when loading?,Volker Wegert
132019,message #410229,Helper EOperation excluded in generated interface,A. Jibran Shidqie
132020,message #410236,XML serialization problem,Dimitrios Kolovos
132021,message #410241,CCombo and Selection (SWT.Selection),Frank Groezinger
132022,message #410246,ScrolledComposite resize behavior,Eclipse User
132023,message #410247,How do I install,Peter
132024,message #410258,DnD from explorer view to editor,Lee
132025,message #410259,Using VE to layout a View?,Eclipse User
132026,message #410268,background job,Eclipse User
132027,message #410270,Yet another case of using RMI in a plugin,Roland Tepp
132028,message #410271,Automatic Update at startup,Michael Borchert
132029,message #410273,logging,Eclipse User
132030,message #410284,Input missing in EMF-Editor-Tabs if outline is closed,Eclipse User
132031,message #410285,convert EMF URI to file URI,Anne Robert
132032,message #410288,XML instead of XMI Seralization,Ian Bull
132033,message #410290,How to get the value of a reference to set the etype of another reference?,Oelerink
132034,message #410295,using multiple models ..,exquisitus
132035,message #410299,How to get the parent of an EAttribute ??,Nicholas Loulloudes
132036,message #410302,EReference.eKeys,Stefan Bley
132037,message #410304,"again on ""removing Type suffix""  from class files",Eclipse User
132038,message #410306,Eclipse Outline View,Eclipse User
132039,message #410308,JetEmitter classloader?,Robert Lario
132040,message #410311,New EMF project problem,Eclipse User
132041,message #410312,Help on EAttribute / ETypedElementImpl methods,Morten MacFly
132042,message #410315,"Option ""PropertiesConfigurator Model"" missing",Eclipse User
132043,message #410318,Minimal EMF,Pradeep
132044,message #410320,EAttribute setEType for Java classes,Marc-Philippe Huget
132045,message #410323,Re: Deadlocks with TranasactionalEditingDomain,Eclipse User
132046,message #410324,I'm tryin to define Ecore model using XSD. I have EBigInteger attribute to be ID. How to specify ID,Sergey Maksimov
132047,message #410330,Referencing external Ecore meta-models,Andrew Carton
132048,message #410333,How to see figures attributes in a tree?,Eclipse User
132049,message #410341,Line delimiters in generated code cause phantom changes in Compare Editor,Vladimir Hirsl
132050,message #410343,PropertySheet unsorted?,Morten MacFly
132051,message #410345,EMF + OCL,Eclipse User
132052,message #410348,root object & model creation wizard,Cyril Faucher
132053,message #410357,Generating model code creates EList with generics casuing errors,Brian
132054,message #410358,[EMF.edit] No ClearCommand?,Eric Rizzo
132055,message #410367,Re: How to create extensible EMF model (via FeatureMaps) based on multiple XSDs (with substituion gr,Ed Merks
132056,message #410372,How to define operations that can throw Exceptions in EMF???,Michael Moser
