file_number,message_id,title,author
660002,message #1257321,How can I add sourceDir to xtext-maven-plugin,Sven Rathgeber
660036,message #1257358,How to extend jubula for Pshelf widget (nebula)?,Rajesh Dash
660059,message #1257387,"Remove ""Windows Builder"" from Eclipse",michael gutman
660072,message #1257401,Invoke .emf from Ant programatically ?,Shrikanth NC
660118,message #1257452,Header auto height?,ILya Cyclone
660149,message #1257487,Command handlers enabled state polled (in 4.3),Erdal Karaca
660156,message #1257494,switch to subeclipse from subversive  in kepler,fachhoch Mising name
660169,message #1257509,Traverse listener not firing on Arrow-Keys,Stefan Milchram
660185,message #1257529,Serialization in xtext,Arshad Adavani
660204,message #1257548,USE_TYPE_CACHES and DYNAMIC_DISPATCH break basic OCL operations?,Kirsten M. Z.
660208,message #1257552,Abstract Syntax Tree (AST),Alexander R
660212,message #1257556,Handler can not search desired class,Muhammad Salman
660216,message #1257560,Chart x-Axis zoom out /in in some range?,  kohl
660220,message #1257566,Maintaining Customized Xtext Grammar,Salome Maro
660221,message #1257567,Sirius Roadshow,Frederic Madiot
660231,message #1257579,Use same colour for series in multi-bar chart,Mohammed Ajmal
660232,message #1257580,How to disable DOXYGEN_SHOULD_SKIP_THIS,Filip Dossche
660251,message #1257600,restore view in rcp application,manu m
660255,message #1257606,Problem building efxclipse sample app with tycho and Java 8,Sun Volland
660265,message #1257619,OCL and Xtext,Günther Fiedler
660287,message #1257645,RAP in Geronimo/EJB lookups,Roland Welker
660315,message #1257685,BIRT Report Runtime download,Preetha S
660323,message #1257695,BIRT download link doesnt work..is there any work around?,Preetha S
660343,message #1257723,Report Runs in Kepler But Not in Birt Viewer,Frank Caruso
660494,message #1257894,Logging all errors in e4 app,Phil V
660615,message #1258021,virgo:UnableToSatisfyBundleDependenciesExcept,fu duhui
660655,message #1258062,How to enable source level debugging with gdb?,Jack Luk
660755,message #1258165,Error while launching command: gdb --version,Kevin Pannell
660777,message #1258189,Migrate ILayerCell from underlying layer to top-level,Markus Duft
660806,message #1258220,Jubula 7.2 - missing Toolbar,nicole h
660846,message #1258266,How to be notified about a painting completion?,Denis Aristov
660850,message #1258270,Saving of a resource and modifying the same after that in xtext,Arshad Adavani
660860,message #1258286,Prevent messages when plugging fragment contribution to IDE,Yves Arpheuil
660861,message #1258288,Modularize/Contribute to RCP,Shrikanth NC
660872,message #1258302,AMP and C/C++ IDE,Giannis Goutas
660891,message #1258330,ReportServiceException when trying to cancel and reopen the same report,Lanka Y
660892,message #1258331,On the use of Workspace and WorkManager API,El Arbi Aboussoror
660899,message #1258340,Hudson 3.1.2 causing memory leak in Firefox 27.0.1,Colin Jones
660915,message #1258359,SWTBot 2.2.1 is released!,Mickael Istria - away until August 14th
660922,message #1258366,Unexpected menu items in the context menu of decimal fields,Jeremie Bresson
660929,message #1258376,Redirecting Requests to Root Path Entry Point,Tiburon T
660942,message #1258391,Updating the org.eclipse.osgi bundle only,Silvestre Martins
660943,message #1258392,Migrate to a new Database MySQL,louy koko
660962,message #1258412,Multi-Module,René  Eigenheer
660975,message #1258429,Emfatic Generating two packages,Christopher Power
660979,message #1258433,How to Programatically run '.launch' file ?,Shrikanth NC
660983,message #1258437,Last Success Version/Last Failure Version sorting,Konrad Zielinski
661008,message #1258463,Adding invalid references in Xtext,Arshad Adavani
661012,message #1258467,Deletion of OneToMany unidirectional mapping does not delete all children,kon f
661022,message #1258480,How to build project using hudson when commit triggerd by Team Member,sumit kumar
661026,message #1258484,Start Build by Hudson when some one commit on Svn,sumit kumar
661027,message #1258485,How to Add xtext 2.5.1 Zip to Eclipse to provide xtext nature,raju ak
661031,message #1258489,Missing image after 3.1.2 update,Konrad Zielinski
661047,message #1258512,How to run test suite/test case many times,Richard Skoog
661054,message #1258520,ECP RAP demo in Tomcat,Neil Mackenzie
661068,message #1258537,How to interactively waiting for background jobs? [solved],Jens Rabe
661096,message #1258573,Problem update with proxy server,cms 9651
661115,message #1258598,[Solved]How to generate an ecore metamodel diagram from an .ecore file?,Lefteris Skoutaris
661125,message #1258613,Graphiti - Eclipse EMF,Simone Di Cola
661171,message #1258674,accessing created target elements in called rule,azadeh jb
661229,message #1258736,Autoformat: The comment preceding an element is not indented correctly.,Tatiana Fesenko
661248,message #1258757,HandledMenuItem / HandledToolItem from fragment always disabled,Tamar Cohen
