file_number,message_id,title,author
220004,message #695571,"Cannot create TestCase using CPPUnit, error happens",ye.xu.fred
220019,message #695591,Editable Column,Jeremie Bresson
220024,message #695605,(no subject),Eclipse User
220035,message #695623,Hibernate + Eclipse RCP,k_mike 
220036,message #695625,Tree Filtering problem,lisa lin
220037,message #695629,discuss the opportunities of working under the software  development company,lisa lin
220038,message #695631,Nightly update site doesn't work?,marius burz
220042,message #695640,[EuGENia] Nodes with images,mingyi 
220045,message #695643,[Zest] Layout algorithms to resize parent GraphContainers,deiwinsarjas2004
220049,message #695655,[CDO] NPE in GMF notation caused by CoreTypeMappings$TMCustom.getDefaultValue,Steve Monnier
220050,message #695656,eclipse plugin > how to add facets programmaticaly?,b0x0rz
220051,message #695657,no view error after download project from svn,diego 
220052,message #695659,Unordered Groups and cardinality,Daniel Missing name
220055,message #695663,ClassCastException on ETL,Federico Tomassetti
220057,message #695667,[Xpand] execute template in workspace,derari
220061,message #695676,StackOverflowError during PAR deploy,Vladimir Stevanovic
220065,message #695682,Language pack for RAP (Indigo),Eclipse User
220066,message #695685,How to customize property of a project in Eclipse?,SHUBHAM
220068,message #695687,Default Cut/Copy/Paste/Rename/DeleteCommands disabled,Alexander May
220069,message #695691,Why would I use working copies to manipulate java code,john doe
220072,message #695697,Multiple questions on BIRT engine,sam va
220073,message #695698,Where to plugin new IDocArchiveReader,sam va
220077,message #695702,Beginner problem,Caner 
220079,message #695709,Xtext project from existing ecore model,Jeppe Cramon
220080,message #695710,Get IPackageFragments of an IPackageFragment,john doe
220081,message #695713,Include a Sash in a ScrolledComposite?,Renaud C
220084,message #695716,can't create project from existing source,Andrej Sersch
220086,message #695724,Remote debugging without binary,Andres 
220090,message #695729,JasperWave 0.9.1 designer for JasperReports is released,Sergey Vyunnikov
220096,message #695741,Support for French Keyboard,Michel LAURENT
220099,message #695750,Public API equivalent of method findWord(),jacek.teper
220101,message #695752,Eclipse can't be start from Eclipse.app (Mac OS X Snow Leopard),valerossi4674
220102,message #695753,How do I determine if a class has no one inhereting from it?,David Sauter
220103,message #695754,"Deer, Eclipse developer, please update high resolution Eclipse Icon.",kor_rea
220104,message #695765,classpath for several bundles,Jack Beauregard
220105,message #695766,Unresolved dependency on com.sun.security.auth,Barbara Rosi-Schwartz
220106,message #695768,Missing bundle when adding/removing bundles in STS servers view,Barbara Rosi-Schwartz
220108,message #695771,How to implement catch all type exception handler,Barbara Rosi-Schwartz
220111,message #695782,Local history issue,Tobias Emitslof
220113,message #695785,"Linux, Graphics Driver Debug How To",chris pepper
220119,message #695794,problem with import acm.   type,lenin.lenin25
220120,message #695795,Certain objects refuse to appear in pop-up,ouri.maler
220126,message #695813,[Acceleo] Progress Reporting,stuart mackey
220132,message #695822,Visual model of struts-config.xml,Ed Missing name
220136,message #695829,Editor can't be initalized. Unresolved proxy,Jeppe Cramon
220137,message #695830,DateTime Widget Date Format,Jack Mising name
220139,message #695832,CompareUIPlugin throws a NullPointerException,dali 
220144,message #695838,[EMF Compare] Scalability issues on GenericDiffEngine.getMatchedEObject(EObject) &amp; AbstractC,Eclipse User
220156,message #695863,[EMF Compare] Usage of MatchOptions.OPTION_DISTINCT_METAMODELS,Eclipse User
220161,message #695873,"Label(x,y) constructor is not defined[solved]",synhedionn Mising name
220175,message #695891,NullPointerException in LazyLinker: EPackage is null for EClass from no-namespace XML model,Mirko Raner
