file_number,message_id,title,author
176000,message #560566,Announcing EclipsePro,Mark Johnson
176001,message #560570,Eclipse 3.6,Eclipse
176002,message #560571,test,Ger Kehoe
176003,message #560572,[oaw] Problem invoking JavaMetamodel from plugin,Eclipse User
176004,message #560574,help for making a modelling editor in PDE,neha
176005,message #560576,repost from stem-dev@eclipse.org,Daniel Ford
176006,message #560577,Awoma releases ThinStructure Framework 3.1.1,Eclipse User
176007,message #560580,test666,Eclipse User
176009,message #560588,test,Eclipse User
176010,message #560589,New Eclipse Resource Catalog,Ian Skerrett
176011,message #560591,Installing/Using Tools,Adam Cabler
176012,message #560593,Comments on Project Proposal,Konstantin Komissarchik
176013,message #560595,Is it possible to use GMF without underlying EMF model?,Eclipse User
176014,message #560597,Preventing Financial Outbreaks,Werner Keil
176015,message #560598,testtest,Eclipse User
176016,message #560599,Announcing: EclipseWorld 2005,Alan Zeichick
176017,message #560603,Complete editor,Eclipse User
176018,message #560604,Fine-tuning the Eclipse Committer Experience,Chris Aniszczyk
176019,message #560609,[ANN] Instantiations WindowBuilder Pro 4.0 released,Mark Johnson
176020,message #560610,testing again,Eclipse User
176021,message #560613,installation glitches (1.0M4),Franz Fehringer
176022,message #560620,Mytest,Eclipse User
176023,message #560621,Re: Query 1.1M4,Richard Gronback
176024,message #560624,OCL and domain specific model development ...,Wenbo Zhu
176025,message #560625,[oaw] ClassLoader issue,Eclipse User
176026,message #560627,TEST,Tex Twil
176027,message #560628,OrindaBuild 5.0 Launched - Writes Java to connect Oracle to Apache Axis,Eclipse User
176028,message #560629,AMP Proposal,Miles Parker
176029,message #560634,test,Eclipse User
176030,message #560636,[ANN] jLibrary 1.0 beta2 announced,MartÃ­n PÃ©rez MariÃ±Ã¡n
176031,message #560637,[Announce] MDT UML2TOOLS 1.0.0M4a is available,Michael Golubev
176032,message #560638,Documentation,Milen Manov
176033,message #560641,Re: [GEMS] linux/gtk vs. macosx,Jean Bezivin
176034,message #560642,test2 äöüß,Eclipse User
176035,message #560644,BZ Media acquires EclipseSource from Penton Media,Alan Zeichick
176036,message #560649,[Epsilon] Epsilon binaries and source code available,Dimitrios Kolovos
176037,message #560651,test,Eclipse User
176038,message #560653,ANN: IntraWeb 5.0.16 for Eclipse 3 and JBuilder Released,Eclipse User
176039,message #560655,interface in UML,wangjinhui
176040,message #560657,[AM3] Gap between AM3 and EMF?,Stefan Winkler
176041,message #560658,Test,Sean WIlbur
176042,message #560662,"[ANN] MyEclipse 4.0 Milestone-1 Available - New UML, JSF, Tapestry & Advanced Oracle DB Features",Eclipse User
176046,message #560667,Test my client,Eclipse User
176047,message #560671,GMF files,Yves YANG
176048,message #560672,EclipseWorld technical program announced,Alan Zeichick
176049,message #560674,cong!,Jin Missing name
176050,message #560676,Pave demo,Milen Manov
176052,message #560677,TestöäüÜÖÄ,Eclipse User
176053,message #560680,Scripting in E4,Paul Webster
176055,message #560684,BSD license for LWJGL is good for Eclipse?,Jin Missing name
176056,message #560685,ANN: XMLBuddy Pro 2.0.57,Eclipse User
176057,message #560688,diagram test,Eclipse User
176059,message #560692,Project diversity,Scott Lewis
176060,message #560694,A glance at Pave,Milen Manov
176061,message #560700,registering interest,Eclipse User
176062,message #560699,test format,na
176063,message #560701,Pave Creation Review,Anne Jacko
176064,message #560703,ANN: XMLBuddy Pro 2.0.63,Eclipse User
176065,message #560710,Localization,Werner Keil
176066,message #560711,test 2,Eclipse User
176067,message #560712,Provisioning Pave,David Williams
176068,message #560713,ANN: Eclipse XRay Profiler,Chris Laffra
176069,message #560716,Feedback on MTJ proposal,Arto Laurila
176070,message #560718,Getting started,Paul Webster
176072,message #560722,License issues,Michael Giroux
176073,message #560725,IP Process: IPZilla Improvements,Darin Swanson
176074,message #560726,Status of the project?,Pierre-Charles David
176075,message #560730,How it works,Grahame Grieve
176076,message #560732,Eclipse Members Meeting,Darin Swanson
176077,message #560733,Using Java3D,Eclipse User
176078,message #560735,Embedded Track at EclipseCon 2006!,Doug Gaff
176079,message #560736,Events,Werner Keil
176080,message #560737,The Eclipse Monkey proposal has been terminated for lack of interest,Bjorn Freeman-Benson
176081,message #560740,ANTLR v3,Doug Schaefer
176082,message #560741,Open Source Software Research,Eclipse User
176083,message #560744,Emulator framework discussion,No real name
176086,message #560745,test CR,Eclipse User
176087,message #560756,Eclipse DemoCamps,Darin Swanson
176088,message #560757,[ANN] WebSphere Voice Toolkit 6.0 available,Brent D. Metz
176089,message #560758,jMonkeyEngine,Andreas Blochberger
176091,message #560762,Welcome!,Dimitrios Kolovos
176092,message #560764,HSQLDB,Eike Stepper
176093,message #560765,team diversity,Scott Lewis
176095,message #560767,EclipseWorld Announces Keynotes...,Alan Zeichick
176096,message #560772,Scenario additions,Eclipse User
176098,message #560773,Re: [Epsilon] Moving to Modeling/GMT,Dimitrios Kolovos
176099,message #560774,Automatic downloads,Eike Stepper
176100,message #560775,2008 Elections,Darin Swanson
176102,message #560781,[Epsilon] Re: Eugenia problems,Eclipse User
176104,message #560784,A vital effort...,Oisin Hurley
176105,message #560785,How to Commit a document,Imran AR
176106,message #560786,Commercial issues,Eclipse User
176107,message #560787,Java Community Process,Werner Keil
176109,message #560797,[ANN] MyEclipse 4.0 - Now supports Eclipse 3.1,Eclipse User
176110,message #560801,Use cases,Mika Hoikkala
176112,message #560805,Jakarta Commons / Net,Martin Oberhuber
176116,message #560811,"[ANN] v4.1 - SWT Designer, Swing Designer & WindowBuilder",Eric Clayberg
176118,message #560819,Can't install JWT on a fresh version of eclipse,Darwin
176119,message #560822,OCL Question,Eike Stepper
176120,message #560821,What is e4?,Mike Wilson
176121,message #560838,Where did everybody go...?,Mike Wilson
176122,message #560846,Air transportation now operational,Stefan Edlund
176123,message #560848,Re: Model instance transformation framework,Dimitrios Kolovos
176124,message #560851,EclipseUML Free Edition for Eclipse 3.1 and JDK 5,Vlad Varnica
176125,message #560852,e4 Creation Review,Mike Milinkovich
176128,message #560861,[Epsilon] Make a reference from HUTN to an element of a pre-builded model,Hector
176130,message #560864,"[ANN] oXygen XML Editor, Schema Editor and XSLT Editor/Debugger/Profiler 6.1",Eclipse User
176131,message #560865,Will app isolation be supported in one Workbench (like tabs in Chrome)?,Marton Sigmond
176132,message #560870,GEF3D Creation Review,Anne Jacko
176133,message #560878,Eclipse Work Wanted,Charlie Kelly
176134,message #560879,Technobuff: Requirement Coverage/Traceability plugin JRequire(TM) V1.0.1 with Eclipse 3.1 support,exquisitus
176135,message #560882,fdg,Eclipse User
176136,message #560890,eclipse RCP developers :: solid domain modeling experience preferred,Blaine Wishart
176139,message #560894,Web Performance Analyzer Eclipse Plugin EAP,Eclipse User
176140,message #560897,Draft: org.eclipse.draw3d.geometry,Jens von Pilgrim
176141,message #560903,Will UI auto adjust itself?,Eclipse User
176142,message #560905,Combine experience,rjahn
176143,message #560906,Team looking for Eclipse Platform/Eclipse RCP projects,Eclipse User
176144,message #560907,build and execution issues,Miles Parker
176145,message #560908,"[ANN] MyEclipse 4.0 m3 - Includes Split-Screen Web Designer, UML Reverse Engineering, & New Appl",Eclipse User
176146,message #560909,[Epsilon] Default values in HUTN,Hector
176147,message #560911,test,Eclipse User
176148,message #560912,How to use GEF3D build 3D models?,zorro
176149,message #560916,What are those new plan items about?,Thomas Schindl
176151,message #560918,Intro to Sapphire,Konstantin Komissarchik
176152,message #560919,Sr. Eclipse Developer -- Oracle Corporation,Eclipse User
176153,message #560920,STEM Build Mac OS,Miles Parker
176154,message #560921,"Oracle, Sybase, IBM Top Sponsors of Debut EclipseWorld Conference",Alan Zeichick
176155,message #560922,testing,James private
176156,message #560933,Eclipse- TVWorks/Comcast Employment,Sarah
176157,message #560934,inteest--maybe,Fred Grott
176158,message #560935,Bay Breeze Software Released SQL Edge 1.1,Eclipse User
176159,message #560936,rotation of planes,Matthias Then
176160,message #560938,testing pgp,James private
176161,message #560941,Client Server Architecture?,Christian humer
176162,message #560946,Looking for Job / Project in eclipse IDE,Chandresh Gandhi
176163,message #560948,jLibrary 1.0beta3 released,MartÃ­n PÃ©rez MariÃ±Ã¡n
176164,message #560949,[HUTN] Null value on a reference,Pau Giner
176165,message #560951,another test,James private
176167,message #560959,questions,Alex Smirnoff
176168,message #560960,EclipseWorld 2005 Exceeds Expectations,Alan Zeichick
176169,message #560966,test,test
176170,message #560968,Question on persistence of Enumeration data types using CDO,Eclipse User
176171,message #560969,How many bundles from a library?,Pascal
176172,message #560974,Modelistic JME v 1.3.3 released,Eclipse User
176173,message #560977,Magyar: Eclipse programozót keresünk,Frank Gerhardt
176174,message #560979,test,test
176176,message #560985,Eclipse ALF interest?,Arto Laurila
176177,message #560989,"[ANN] oXygen XML editor, Schema Editor and XSLT Editor/Debugger/Profiler 6.2",Eclipse User
176178,message #560991,first e4 milestone: 0.9 M1,Boris Bokowski
176179,message #560992,duh!,Eclipse User
176181,message #560998,really interesting,Pan Daoen
176182,message #561000,Intro blog comment from André,Konstantin Komissarchik
176183,message #561002,Ideas to help Community Members become Committers,Eclipse User
176184,message #561003,[ANN] Software Acumen to distribute pure::variants plug-in,Mark Dalgarno
176185,message #561005,test,Eclipse User
176187,message #561006,Moving Mylyn tasks to new workspace,Jonathan Gossage
176190,message #561015,Eclipse memory consumption in general,Arto Laurila
176191,message #561019,Contract UI Design for Eclipse,Eclipse User
176192,message #561020,test,Eclipse User
176193,message #561025,Compiler Error,Madhu Samuel
176194,message #561026,Library EXT Example (Live Validation),Chris Aniszczyk
176195,message #561030,Bay Breeze Software Released SQL Edge 1.2,Eclipse User
176196,message #561029,débutant j2ee,rami
176197,message #561031,Meeting minutes from first committer meeting,Per Kroll
176198,message #561033,What about ?,Michael Strothjohann
176199,message #561035,Why 'Higgins'?,No real name
176200,message #561034,"we're interested (Apogee, Inc.)",Eclipse User
176201,message #561036,testing,Steven
176202,message #561039,Handling multiple diseases in STEM,Stefan Edlund
176203,message #561040,Limitations,Madhu Samuel
176204,message #561044,Seeking feedback on Google Summer of Code project idea,Jake 
176205,message #561045,[ANN] Spket IDE 1.0 for Laszlo,Eric Suen
176206,message #561047,Potomac forums,Chris Gross
176207,message #561048,European committer meeting,Per Kroll
176208,message #561050,"Internship offer at XRCE, France",Eclipse User
176209,message #561051,Amalgamation tip,Giovanni
176210,message #561053,Test just to ensure...,Eclipse User
176211,message #561057,Sapphire - Focus on Browsing,Konstantin Komissarchik
176212,message #561060,CDO library example fails to create resource,Mark Geib
176213,message #561061,"Eclipse 3.1: JVM terminated Exit code=-1; Computer 138MB RAM, Windows98, jdk1.5",boris starchev
176214,message #561064,Meeting minutes from 2006.06.17 BUP subproject conference call available,Brian G. Lyons
176215,message #561068,Higgins Project Web Pages,Mary Ruddy
