file_number,message_id,title,author
440012,message #985435,Eclipse complains about working code,Sverre Moe
440021,message #985445,Change web service response,Alan Farroll
440030,message #985454,Cannot see JSF palette or JSF project template in RAD 8.5,Haim Schneider
440035,message #985460,Resolving Crossreferences in Eclipse context,Robert Wild
440060,message #985488,Emma Update,Flavio Donze
440077,message #985508,Virgo tooling : Bundle dependencies broken once changed MANIFEST.MF of a installed bundle,Jay Huang
440082,message #985515,Running the Xtext machinery outside the builder,Vlad Dumitrescu
440099,message #985534,How to add new model elements in refining mode,Andreas Brieg
440104,message #985539,[Acceleo] Problem xmi reference to another xmi,Guillaume Lincé
440105,message #985540,Code Graph Call Stack,Missing name Mising name
440118,message #985557,"Database layer via ExtensionPoint, classloading issues",Heinzi Muella
440155,message #985606,Trouble mapping object file to source file,Jim Anderson
440160,message #985611,Export Graphiti diagram image via API,Eclipse User
440176,message #985630,Welcome to the Damos user discussion group,Andreas Unger
440178,message #985637,Moving rows in NatTable when its in sorted state,Raptor X
440179,message #985639,Where is Committer Questionnaire?,Robert Van Overmeiren
440180,message #985642,@Lob Causing incorrect Hibrenate mapping,Rob Mising name
440181,message #985646,Child data set table name needs seeded on Parent table column value,Peter Brown
440182,message #985652,CTabFolder strange border,Ricky de Klerck
440183,message #985654,Minimun ellipse bound that contain a point relative to the bound's origin,Mauro P.
440184,message #985657,service lookup fails with plan based deployment,Erik Vande Velde
440185,message #985662,Include Path does auto complete include() function?,Danial RKH
440186,message #985675,"Default Nattable, how to edit a cell",Erik Vande Velde
440187,message #985676,[Acceleo]  A circular dependency exists between scripts,Dario Imparato
440188,message #985678,[Teneo] Use objects in a query later on,Thomas Kipar
440189,message #985688,Problems with Variable Persistence,Chrono Hart
440190,message #985694,Injecting doesn't work - eModelService.find works - why?,Alex Kipling
440191,message #985695,View BIRT report through a website,Chanchal Saha
440192,message #985696,[EVL] Quick Fix is disabled,Mirco Franzago
440193,message #985701,"Suddenly: Blank merge list, receive errors",Louisa Nicholson
440194,message #985702,phortran run console,james fastook
440195,message #985704,OQL enhancements,Andrew Johnson
440196,message #985711,AddFeature (link element),Rui Domingues
440197,message #985716,BIRT-Viewer DB connection error,Christian Hilgenstock
440198,message #985718,ResolveTemp in Lazy Rule relating to another Lazy Rule,Ronan B
440199,message #985720,Simple PDF Viewer using PDFRenderer,James Teater
440200,message #985722,How to Disable Auto-Capitalization of Hex Values in Properties Files,Jeremy Crowner
440201,message #985724,NPE in AcceleoGenerator,Missing name Missing name
440202,message #985725,Automatically open a rendered report,Christoph Spielmann
440203,message #985729,Eclipse not working?,Jacob O
440204,message #985739,Reduce walk memory usage,Doru Chiulan
440205,message #985750,reportContext.getMessage() syntax to behave like label/chart localization properties,Tom Yamada
440206,message #985762,Gemini JPA 1.1.0 released,Michael Keith
440207,message #985766,SWT.ICON_SEARCH and SWT.ICON_CANCEL NOT WORK,ocean xue
440208,message #985767,"Eclipse RCP Full-time Hire, On-Site, Austin, TX",Casey Marshall
440209,message #985768,how can i change y-axis,Candace Chen
440210,message #985776,loading .uml / .xmi files in eclipse,Toqeer Israr
440211,message #985778,Texo - implementing an interface,Pradeep Badiger
440212,message #985782,Chain 2 parsers/generators,Sergio Otero
440213,message #985783,Why did the project explorer folder had a red exclamation mark??,yu joey
440214,message #985800,What is the difference between Area and PartSash Containers in e4?,Alex Kipling
440215,message #985801,dump correctly generated?,Bernt Formella
440216,message #985815,Change of display string in editor after content assist,Sreekanth SC
440217,message #985816,What is the InputURI for in e4 InputParts?,Alex Kipling
440218,message #985818,Refreshing the pages,Bertin Kiekebosch
440219,message #985825,Change of display string in editor after content assist,Sreekanth SC
440220,message #985828,how to center align the label name in gmfgraph?,Iqbal Hossain
440221,message #985830,Problem in loading meta Model,dorraaaa Z
440222,message #985831,Skip subtasks when generating MAT reports,Hsin-Yin Chou
440223,message #985834,Integrating Xtext into GMF-based Editor,Gideon Weber
440224,message #985836,Window created by dragging Tab out from Workbench - is not resizable!,Alex Kipling
440225,message #985849,Databinding inside a TableViewer with checkboxes,Drek Korin
440226,message #985851,Java was started but returned exit code=15,Robert Hahn
440227,message #985852,How to get the closest IEclipseContext of a MPartStack?,Alex Kipling
440228,message #985855,Paths and Symbol page overide IncludeTab,anil kumar
440229,message #985862,"[CDO] CDOTransaction lifecycle, attempt to modify historical revision",Matt Mursko
440230,message #985864,Slow load in browser after reindexing for search,Scott Cox
440231,message #985866,EclipseCon Boston - Submission Deadline is Monday!,Sven Efftinge
440232,message #985873,BIRT-Viewer DB connection error,Christian Hilgenstock
440233,message #985874,Referenced Models Navigation,Markus Riedl
