file_number,message_id,title,author,author_link,author_id
176000,message #560566,Announcing EclipsePro,Mark Johnson,index.php?t=usrinfo&id=23029&,23029
176001,message #560570,Eclipse 3.6,Eclipse,index.php?t=usrinfo&id=72112&,72112
176002,message #560571,test,Ger Kehoe,index.php?t=usrinfo&id=44400&,44400
176003,message #560572,[oaw] Problem invoking JavaMetamodel from plugin,Eclipse User,/donate,0
176004,message #560574,help for making a modelling editor in PDE,neha,index.php?t=usrinfo&id=43288&,43288
176005,message #560576,repost from stem-dev@eclipse.org,Daniel Ford,index.php?t=usrinfo&id=27941&,27941
176006,message #560577,Awoma releases ThinStructure Framework 3.1.1,Eclipse User,/donate,0
176007,message #560580,test666,Eclipse User,/donate,0
176009,message #560588,test,Eclipse User,/donate,0
176010,message #560589,New Eclipse Resource Catalog,Ian Skerrett,index.php?t=usrinfo&id=22793&,22793
176011,message #560591,Installing/Using Tools,Adam Cabler,index.php?t=usrinfo&id=26607&,26607
176012,message #560593,Comments on Project Proposal,Konstantin Komissarchik,index.php?t=usrinfo&id=17468&,17468
176013,message #560595,Is it possible to use GMF without underlying EMF model?,Eclipse User,/donate,0
176014,message #560597,Preventing Financial Outbreaks,Werner Keil,index.php?t=usrinfo&id=36613&,36613
176015,message #560598,testtest,Eclipse User,/donate,0
176016,message #560599,Announcing: EclipseWorld 2005,Alan Zeichick,index.php?t=usrinfo&id=32083&,32083
176017,message #560603,Complete editor,Eclipse User,/donate,0
176018,message #560604,Fine-tuning the Eclipse Committer Experience,Chris Aniszczyk,index.php?t=usrinfo&id=15423&,15423
176019,message #560609,[ANN] Instantiations WindowBuilder Pro 4.0 released,Mark Johnson,index.php?t=usrinfo&id=23029&,23029
176020,message #560610,testing again,Eclipse User,/donate,0
176021,message #560613,installation glitches (1.0M4),Franz Fehringer,index.php?t=usrinfo&id=26845&,26845
176022,message #560620,Mytest,Eclipse User,/donate,0
176023,message #560621,Re: Query 1.1M4,Richard Gronback,index.php?t=usrinfo&id=17086&,17086
176024,message #560624,OCL and domain specific model development ...,Wenbo Zhu,index.php?t=usrinfo&id=24583&,24583
176025,message #560625,[oaw] ClassLoader issue,Eclipse User,/donate,0
176026,message #560627,TEST,Tex Twil,index.php?t=usrinfo&id=38456&,38456
176027,message #560628,OrindaBuild 5.0 Launched - Writes Java to connect Oracle to Apache Axis,Eclipse User,/donate,0
