file_number,message_id,topic,author,link,domain,top_level_domain
44000,message #142915,Profiling Web Application on JBOSS Attaching an Agent,surbhigl,http://www.w3.org/2001/XMLSchema-instance,www.w3.org,org
44002,message #142919,Get ContenPane and EditParts,Oelerink,http://help.eclipse.org/help32/topic/org.eclipse.gmf.doc/howto/diagram/howto.html#readOnlyViews0,help.eclipse.org,org
44007,message #142935,How to feed (memory-only) DOM into XMLTableTreeViewer,Eclipse User,http://www.eclipse.org/webtools/wst/components/sse/overview.html,www.eclipse.org,org
44007,message #142935,How to feed (memory-only) DOM into XMLTableTreeViewer,Eclipse User,http://eclipse.org/webtools/wst/components/sse/designs/EditorConfiguration.html,eclipse.org,org
44008,message #142937,HTML like UI,Guillaume Brocker,http://www.doxygen.org,www.doxygen.org,org
44011,message #142948,enabling JSP 2.0+ support,Nitin Dahyabhai,https://bugs.eclipse.org/bugs/show_bug.cgi?id=101871,bugs.eclipse.org,org
44012,message #142955,TPTP going to die?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=53149,bugs.eclipse.org,org
44012,message #142955,TPTP going to die?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=93452,bugs.eclipse.org,org
44012,message #142955,TPTP going to die?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=236899,bugs.eclipse.org,org
44012,message #142955,TPTP going to die?,Paul Slauenwhite,http://wiki.eclipse.org/TPTP_User_Experiences_Profiling,wiki.eclipse.org,org
44022,message #142992,Open Source Software Research,Eclipse User,http://www.surveymonkey.com/s.aspx?sm=Kz7dhISrOW7hQOJBpr4ysA_3d_3d,www.surveymonkey.com,com
44023,message #143000,Help with remote debugging,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=30094,bugs.eclipse.org,org
44028,message #143021,JBossIDE strange packaging,Eclipse User,http://trailblazer.demo.jboss.com/IDETrail/ejb3/packaging/,trailblazer.demo.jboss.com,com
44028,message #143021,JBossIDE strange packaging,Max Rydahl Andersen,http://www.jboss.org/index.html?module=bb&op=viewforum&a;mp;f=162,www.jboss.org,org
44028,message #143021,JBossIDE strange packaging,Max Rydahl Andersen,http://www.opera.com/mail/,www.opera.com,com
44036,message #143045,VE tested with Eclipse 3.4,Erik Hecht,http://www.ehecht.com/eclipse_ve/ve.html,www.ehecht.com,com
44036,message #143045,VE tested with Eclipse 3.4,Yves YANG,http://www.soyatec.com,www.soyatec.com,com
44043,message #143058,Library management,Patrick Mueller,http://maven.apache.org,maven.apache.org,org
44043,message #143058,Library management,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=50461,bugs.eclipse.org,org
44043,message #143058,Library management,Eclipse User,http://www.javango.net/eclipse/userlib.html,www.javango.net,net
44043,message #143058,Library management,Eclipse User,http://openrules.com,openrules.com,com
44043,message #143058,Library management,Eclipse User,http://mevenide.sourceforge.net,mevenide.sourceforge.net,net
44046,message #143068,java.lang.IllegalStateException: Workspace is closed.,Bill Winspur,http://dev.eclipse.org/newslists/news.eclipse.platform/msg50146.html,dev.eclipse.org,org
44052,message #143080,Jonas and EAR deployment,Fred Grott,http://www.jroller.com/page/shareme/Jonasserverdef,www.jroller.com,com
44055,message #143084,VE with Eclipse 3.3.0,P. Michael Hutchins,http://www.eclipse.org/vep/WebContent/faq.html#install_howto,www.eclipse.org,org
44055,message #143084,VE with Eclipse 3.3.0,P. Michael Hutchins,http://www.eclipse.org/vep/WebContent/main.php,www.eclipse.org,org
44056,message #143086,CDT and project templates,Eclipse User,http://dejan.lekic.org,dejan.lekic.org,org
44062,message #143103,Profiler Panic,Rahul Bollampally,http://dev.eclipse.org/newslists/news.eclipse.tptp/msg07079.html,dev.eclipse.org,org
44065,message #143111,"Can't access ""help contents"" from a workbench - firewall problem?",Eclipse User,http://www.eclipse.org/search/search.cgi?t=All&t=Doc&;t=Downloads&t=Wiki&wf=574a74&q=help+server&x=9&y=10,www.eclipse.org,org
44066,message #143112,extending VE in other languages,Yves YANG,http://www.soyatec.com/,www.soyatec.com,com
44069,message #143121,ANT - specify what version of java to use,Darin Swanson,http://ant.apache.org/manual/CoreTasks/javac.html,ant.apache.org,org
44076,message #143143,Struts-pluggin-suggestion ????,Eclipse User,http://www.strutsbox.de,www.strutsbox.de,de
44076,message #143143,Struts-pluggin-suggestion ????,Eclipse User,http://www.jamesholmes.com/struts/console/,www.jamesholmes.com,com
44079,message #143147,GMF for JDO : missing connection and link,Eclipse User,http://www.eclipse.org/emf/2002/Ecore#//EFeatureMapEntry,www.eclipse.org,org
44079,message #143147,GMF for JDO : missing connection and link,Eclipse User,http://www.eclipse.org/emf/2003/XMLType#//AnySimpleType,www.eclipse.org,org
44079,message #143147,GMF for JDO : missing connection and link,Eclipse User,http://java.sun.com/,java.sun.com,com
44079,message #143147,GMF for JDO : missing connection and link,Eclipse User,http://java.sun.com/cgi-bin/bugreport.cgi,java.sun.com,com
44081,message #143150,Problem with mirror hosting VE updates: http://www.eclipse.ps.pl/tools/ve/updates/1.0,Aleksander Adamowski,http://www.eclipse.ps.pl/tools/ve/updates/1.0,www.eclipse.ps.pl,pl
44081,message #143150,Problem with mirror hosting VE updates: http://www.eclipse.ps.pl/tools/ve/updates/1.0,Aleksander Adamowski,http://olo.org.pl,olo.org.pl,org.pl
44086,message #143165,Want AntiAliased GEF?,Eclipse User,http://www.holongate.org/holongate-2.0/gef/gallery.html,www.holongate.org,org
44086,message #143165,Want AntiAliased GEF?,Eclipse User,http://www.holongate.org/holongate-2.0/gef/index.html,www.holongate.org,org
44086,message #143165,Want AntiAliased GEF?,Eclipse User,http://sourceforge.net/project/showfiles.php?group_id=71622,sourceforge.net,net
44086,message #143165,Want AntiAliased GEF?,Pratik Shah,https://bugs.eclipse.org/bugs/show_bug.cgi?id=7075,bugs.eclipse.org,org
44089,message #143170,Eclipse 3.1M6/CDT I200504120301 indexer problem,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=89965,bugs.eclipse.org,org
44092,message #143176,Multiple Masterpages?,Eclipse User,http://help.eclipse.org/help31/index.jsp?topic=/org.eclipse.birt.doc/birt/birt-24-18.html,help.eclipse.org,org
44092,message #143176,Multiple Masterpages?,Eclipse User,http://www.theserverside.com/articles/article.tss?l=EclipseBRT,www.theserverside.com,com
44092,message #143176,Multiple Masterpages?,Eclipse User,http://www.eclipse.org/birt/phoenix/deploy/DeDemo.java,www.eclipse.org,org
44092,message #143176,Multiple Masterpages?,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/source/org.eclipse.birt.report.model/romdoc/Specs/ROM%20Page%20Setup%20SPEC.doc?cvsroot=BIRT_Project&rev=1.3,dev.eclipse.org,org
44092,message #143176,Multiple Masterpages?,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=132246,bugs.eclipse.org,org
44093,message #143177,Propsheet Customization GMF 2.1,Marc Gil,http://wiki.eclipse.org/GMF_Propsheet_Customization_With_GmfUI,wiki.eclipse.org,org
44103,message #143204,"""Unknown tag"" when using .tag files (tagfiles) in JSP page",Neale Upstone,http://www.likemynds.com,www.likemynds.com,com
44103,message #143204,"""Unknown tag"" when using .tag files (tagfiles) in JSP page",Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=97407,bugs.eclipse.org,org
44103,message #143204,"""Unknown tag"" when using .tag files (tagfiles) in JSP page",Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=105460,bugs.eclipse.org,org
44105,message #143207,custom launch configuration vs. bootclasspath,Darin Swanson,https://bugs.eclipse.org/bugs/show_bug.cgi?id=38370,bugs.eclipse.org,org
44109,message #143212,C++ in Eclipse,Jeff Myers,http://www.eclipse.org/cdt/,www.eclipse.org,org
44109,message #143212,C++ in Eclipse,Eclipse User,http://wiki.eclipse.org/index.php/CDT,wiki.eclipse.org,org
44109,message #143212,C++ in Eclipse,Eclipse User,http://dev.eclipse.org/viewcvs/index.cgi/%7Echeckout%7E/cdt-home/user/Tutorials.html?cvsroot=Tools_Project,dev.eclipse.org,org
44109,message #143212,C++ in Eclipse,Eclipse User,http://www.cs.umanitoba.ca/~eclipse/7-EclipseCDT.pdf,www.cs.umanitoba.ca,ca
44109,message #143212,C++ in Eclipse,Eclipse User,http://weconsultants.servebeer.com/JHackerAppManager,weconsultants.servebeer.com,servebeer.com
44115,message #143228,problem with displaying inheritance node in a Compartment,Andreas Schuster,https://bugs.eclipse.org/bugs/show_bug.cgi?id=195272,bugs.eclipse.org,org
44115,message #143228,problem with displaying inheritance node in a Compartment,Alexander Shatalin,https://bugs.eclipse.org/bugs/show_bug.cgi?id=195272#c6,bugs.eclipse.org,org
44116,message #143229,Running TPTP,Tom P,http://www.eclipse.org/tptp/home/downloads/installguide/InstallGuide44.html,www.eclipse.org,org
44122,message #143242,Re: GMF for JDO : missing connection and link,Eclipse User,http://www.eclipse.org/emf/2002/Ecore#//EFeatureMapEntry,www.eclipse.org,org
44122,message #143242,Re: GMF for JDO : missing connection and link,Eclipse User,http://www.eclipse.org/emf/2003/XMLType#//AnySimpleType,www.eclipse.org,org
44122,message #143242,Re: GMF for JDO : missing connection and link,Eclipse User,http://java.sun.com/,java.sun.com,com
44122,message #143242,Re: GMF for JDO : missing connection and link,Eclipse User,http://java.sun.com/cgi-bin/bugreport.cgi,java.sun.com,com
44123,message #143245,BUG? PDE creating build.xml ignores Java settings,Eclipse User,https://bugs.eclipse.org/bugs/show_bug.cgi?id=44821,bugs.eclipse.org,org
44124,message #143247,Static Birt Reports,Eclipse User,http://www.eclipse.org/birt/phoenix/deploy/reportEngineAPI.php,www.eclipse.org,org
44124,message #143247,Static Birt Reports,Paul Furbacher,http://www.eclipse.org/birt/phoenix/deploy/,www.eclipse.org,org
44124,message #143247,Static Birt Reports,Paul Furbacher,http://www.opensymphony.com/quartz/,www.opensymphony.com,com
44124,message #143247,Static Birt Reports,Paul Furbacher,http://www.opensymphony.com/quartz/wikidocs/Cookbook.html,www.opensymphony.com,com
44124,message #143247,Static Birt Reports,Paul Furbacher,http://www.onjava.com/pub/a/onjava/2006/03/01/job-scheduling-in-web-application.html,www.onjava.com,com
44124,message #143247,Static Birt Reports,Paul Furbacher,http://www.springframework.org/docs/reference/scheduling.html,www.springframework.org,org
