file_number,message_id,title,author
44000,message #142915,Profiling Web Application on JBOSS Attaching an Agent,surbhigl
44001,message #142917,Two questions - team work,Krzysztof Adamski
44002,message #142919,Get ContenPane and EditParts,Oelerink
44003,message #142920,How to add an Item to a popmenu?,Eclipse User
44004,message #142923,how to change class file template?,Eclipse User
44005,message #142925,JSP Custom Tags,Eclipse User
44006,message #142929,Problem manipulating java source,Stefan Holzknecht
44007,message #142935,How to feed (memory-only) DOM into XMLTableTreeViewer,Eclipse User
44008,message #142937,HTML like UI,Guillaume Brocker
44009,message #142941,adaptable what does it mean in eclipse pugin.xml?,Eclipse User
44010,message #142946,modulus,No real name
44011,message #142948,enabling JSP 2.0+ support,Eclipse User
44012,message #142955,TPTP going to die?,Eclipse User
44013,message #142960,RCP vs Plug-ins question,Barry Dresdner
44014,message #142962,Just curious to know where are the Indexer files stored?,Neo
44015,message #142965,YEar x-1 versus Year X,No real name
44016,message #142971,can't execute an applet that's inside a package,Eclipse User
44017,message #142972,Why New Project wizard checks if dirs overlap?!,Neo
44018,message #142979,GetEditPart only with semantic model element,Eclipse User
44019,message #142983,Integrating Help For 3RD Party JDBC Driver,Eclipse User
44020,message #142988,Debug Current Instruction Pointer,Michael Trompertz
44021,message #142989,Mapping or implementation by hand in case of drawing referenced parts.,Dawid Kostrzycki
44022,message #142992,Open Source Software Research,Eclipse User
44023,message #143000,Help with remote debugging,Eclipse User
44024,message #143007,Tomcat failed to start,Eclipse User
44025,message #143008,"The ""problems"" tab not refreshing",Eclipse User
44026,message #143014,Shorcuts disappear when close diagram,Richy
44027,message #143015,Feature Update with external jars?,Eclipse User
44028,message #143021,JBossIDE strange packaging,Eclipse User
44029,message #143022,Right click to open windows context menu,Eclipse User
44030,message #143023,How to get dinamic elements in the master page?,Cristian Popescu
44031,message #143025,Adding feature of control-lock,Eclipse User
44032,message #143026,GTKMM (How to put it work with Eclipse and CDT),Eclipse User
44033,message #143038,Auto insert full qualified name of a class (M7),Eclipse User
44034,message #143040,Saving (& Reloading) the ViewPort location,Eclipse User
44035,message #143044,Why does the *DocumentProvider does not reload changed resources?,Eclipse User
44036,message #143045,VE tested with Eclipse 3.4,Erik Hecht
44037,message #143046,Vc toolkit 03 and CDT,devang
44038,message #143047,can't enable GlobalActionHandler,Federico
44039,message #143050,Install of XML-Plugin ...,Eclipse User
44040,message #143053,CreationToolEntry and SimpleFactory,Eclipse User
44041,message #143055,Where to start to build a standalone application based on Eclipse SDK?,Francesco Valle
44042,message #143057,just jNI,Eclipse User
44043,message #143058,Library management,Eclipse User
44044,message #143061,expression for X-AXIS label,Vladimir
44045,message #143066,plugins for visual class??,Eclipse User
44046,message #143068,java.lang.IllegalStateException: Workspace is closed.,Bill Winspur
44047,message #143071,Class not found in deployed plug-in,Richard Hable
44048,message #143072,How to Create Reports using Stored Procedures,Eclipse User
44049,message #143075,"About  extension  ""org.eclipse.ve.java.core.style""",Eclipse User
44050,message #143076,Where is the CDT API reference pages for contributing to CDT?,Eclipse User
44051,message #143077,where is tptp 4.6 log file,summer
44052,message #143080,Jonas and EAR deployment,Eclipse User
44053,message #143081,Line delimiter problem in configuration files.,Eclipse User
44054,message #143083,BIRT: Help!!!,Cristian Popescu
44055,message #143084,VE with Eclipse 3.3.0,P. Michael Hutchins
44056,message #143086,CDT and project templates,Eclipse User
44057,message #143088,plugin development news,Eclipse User
44058,message #143087,How can I distribute (web) projects without CVS/SVN?,Eclipse User
44059,message #143093,Application Hang while profile,ustone
44060,message #143094,How do I specify the output directory?,Eclipse User
44061,message #143097,How to remove focus decoration,Eclipse User
44062,message #143103,Profiler Panic,Rahul Bollampally
44063,message #143106,wizard and wizardpages passing objects,Eclipse User
44064,message #143104,connections don't appear on the shorcut views,Eclipse User
44065,message #143111,"Can't access ""help contents"" from a workbench - firewall problem?",Eclipse User
44066,message #143112,extending VE in other languages,Eclipse User
44067,message #143113,Problems with Eclipse + CDT and msp430-gcc,Eclipse User
44068,message #143114,CTRL-F6 in M4,David Corbin
44069,message #143121,ANT - specify what version of java to use,Eclipse User
44070,message #143122,Getting an Error after unpacking some sources,Eclipse User
44071,message #143126,Compile one single file?,Eclipse User
44072,message #143129,Arcs between connections,Eclipse User
44073,message #143134,problem in linux eclipse,Eclipse User
44074,message #143136,Plug-in dependency within a feature,Eclipse User
44075,message #143139,FlowLayout shrink on remove,Eclipse User
44076,message #143143,Struts-pluggin-suggestion ????,Eclipse User
44077,message #143144,List of include files,Eclipse User
44078,message #143145,(pde junit) test actions,Eclipse User
44079,message #143147,GMF for JDO : missing connection and link,Eclipse User
44080,message #143148,viewing html file in a browser,Eclipse User
44081,message #143150,Problem with mirror hosting VE updates: http://www.eclipse.ps.pl/tools/ve/updates/1.0,Aleksander Adamowski
44082,message #143155,Problem about getAdapter() method,zhang wei
44083,message #143156,GMF for JDO : missing connection and link,Eclipse User
44084,message #143158,Feature Request: An option for compiler discovery in managed make,Vince Mounts
44085,message #143159,Demo database Problems,Eclipse User
44086,message #143165,Want AntiAliased GEF?,Eclipse User
44087,message #143166,Multiple tabs in new look?,JÃ¶rgen Rapp
44088,message #143169,Birt Demo Database Not Found,Eclipse User
44089,message #143170,Eclipse 3.1M6/CDT I200504120301 indexer problem,Eclipse User
44090,message #143171,Unable to load class error,Eclipse User
44091,message #143172,Using TPTP to profile an Eclipse Plugin,Rich
44092,message #143176,Multiple Masterpages?,Peter Fopma
44093,message #143177,Propsheet Customization GMF 2.1,Marc Gil
44094,message #143178,Custom folding,Peter Salzman
44095,message #143180,Develope new error parser,Eclipse User
44096,message #143184,Dragging and moving,Dolev Dotan
44097,message #143185,Best way to embed BIRT in an RCP,Peter Kliem
44098,message #143187,Change transparency of highlight rectangle on Outline view,Eclipse User
44099,message #143189,IFile ???,Eclipse User
44100,message #143194,ant script to add user library ?,Eclipse User
44101,message #143195,Properties view changes and EditPart,Eclipse User
44102,message #143197,Creating a VM instance programatically,Eclipse User
44103,message #143204,"""Unknown tag"" when using .tag files (tagfiles) in JSP page",Neale Upstone
44104,message #143205,How to display an image/icon on a property sheet,Eclipse User
44105,message #143207,custom launch configuration vs. bootclasspath,Eclipse User
44106,message #143209,Problems with Eclipse TPTP profiling,Gopal
44107,message #143210,Existing VE source and new Workspace NO VE palette nor Designer pane displaying,Eclipse User
44108,message #143211,processType for C/C++ Local Application launch config,Richard Miskin
44109,message #143212,C++ in Eclipse,John Ryding
44110,message #143215,Workspace Save Participants,John Lawrence
44111,message #143216,How to integrate GEF editor with RCP application,Eclipse User
44112,message #143219,TPTP profiling with IAC showing errors,Gopal
44113,message #143223,"Report Viewer (TOC) with Apache+Tomcat, WinXP",Eclipse User
44114,message #143224,xml editor unusable,teknokrat
44115,message #143228,problem with displaying inheritance node in a Compartment,Tex Twil
44116,message #143229,Running TPTP,Tom P
44117,message #143233,Cross version API compatibility,Eclipse User
44118,message #143236,"How to consume JSPs, css, images from different module?",Marc Baumgartner
44119,message #143237,Birt and SVG Images,Eclipse User
44120,message #143240,PHP in Eclipse,Eclipse User
44121,message #143241,Referenced project linking error,avi kenigsbuch
44122,message #143242,Re: GMF for JDO : missing connection and link,Eclipse User
44123,message #143245,BUG? PDE creating build.xml ignores Java settings,Clemens Drews
44124,message #143247,Static Birt Reports,Eclipse User
44125,message #143250,Re: EMF/GMF visual editor generation - Changing the containment of elements,Eclipse User
44126,message #143252,getting started with eclipse - java webapp development,Eclipse User
44127,message #143255,Deploying app to production server from Eclipse?,Eclipse User
44128,message #143258,Can Swing component write to console in VE?,Eclipse User
44129,message #143266,IllegalArgumentException selecting variable in snippet supplied in plug-in,Eclipse User
44130,message #143267,BIRT scope in the web-application?,Eclipse User
44131,message #143270,Eclipse Plugin Application using GEF,Eclipse User
44132,message #143271,"Override ""DEL"" keybinding in diagram",Andreas Schuster
44133,message #143272,Making part of a comment clickable,Eclipse User
44134,message #143274,CDT3 C++ Indexer,Eclipse User
44135,message #143275,license issue,Eclipse User
44136,message #143277,BIRT as a form capture mechanism,Eclipse User
44137,message #143287,How to get column headers to repeat on every page?,Eclipse User
44138,message #143290,EXCEPTION_ACCESS_VIOLATION when running TPTP,Tom P
44139,message #143291,Refreshing missing edges/connections,Andrew J. Montalenti
44140,message #143292,eclipse console no longer showing output,Eclipse User
44141,message #143293,Can I sort the list of files in package explorer?,Eclipse User
44142,message #143294,I tried to compile GTK source,Eclipse User
44143,message #143295,Deploying web service WTP 0.7,Eclipse User
44144,message #143296,schema based extension,Eclipse User
44145,message #143297,How to force refresh of the property sheet,Eclipse User
44146,message #143300,Any heap usage info in TPTP,Patrick Ouyang
44147,message #143305,XML Editor,rwas
44148,message #143304,very basic stuff,Eclipse User
44149,message #143306,Getting weird error when context menu is opened,Eclipse User
44150,message #143307,What is Show Categories?,Eclipse User
44151,message #143308,TPTP has Open API?,Eclipse User
44152,message #143311,Compatibility GMF1.0.3 / GMF2.0,Eclipse User
44153,message #143314,Location Translation,Larry Waldman
44154,message #143316,j2me,Zohar Amir
44155,message #143318,Help!  Cannot cast Selection to anything useful,Eclipse User
44156,message #143319,Help with Eclipse; Remote Debugging using GdbServer,Eclipse User
44157,message #143320,Log and Trace Analyzer in TPTP 4.6,Krishna
44158,message #143321,How can I tell whether it's design time or runtime?,Eclipse User
44159,message #143323,Implementing Web Services Using Eclipse WTP 3.1,Eclipse User
44160,message #143327,eclipse can't show line editor very well on linux,Eclipse User
44161,message #143328,Key bindings,Eclipse User
44162,message #143332,Support for localization.,Eclipse User
44163,message #143336,Cannot debug anymore,Eclipse User
44164,message #143338,JBoss jsp debuggin,Eclipse User
44165,message #143342,Saving eclipse workspace data in one file,Eclipse User
44166,message #143345,"JNI: Compiled succesfull, hang on execute [2/3] ""StrLen.c"" (1/1)",Eclipse User
44167,message #143346,Filtering Views,Eclipse User
44168,message #143347,Connector Project Build question,Eclipse User
44169,message #143349,VE not able to display Swing-embedded SWT component correctly,Eclipse User
44170,message #143350,Bug in predefined CSS style 'report'?,mr. burns
44171,message #143356,Eclipse install can't find bootstrap code,Eclipse User
44172,message #143358,Does VE conflicts with RMI plugin,Eclipse User
44173,message #143359,Log and Trace Analyzer in TPTP4.6,Jenica
44174,message #143360,"JNI: Compiled succesfull, hang on execute [3/3] ""StrLen.java"" (1/1)",Eclipse User
44175,message #143362,plugin installation,Zohar Amir
44176,message #143365,Avoid changing parent to editparts,Eclipse User
44177,message #143366,3.0 M4 CVS broken commit?,Kevin Duffey
44178,message #143367,ini generator required,Eclipse User
44179,message #143369,Testing External App. using AGR,Gopal
44180,message #143370,Carriage return in data?,Eclipse User
44181,message #143371,"JNI: Compiled succesfull, hang on execute [1/3] ""strlen.h"" (1/1)",Eclipse User
44182,message #143373,error: entry point not found,Eclipse User
44183,message #143377,Interactive (mech design) web service w/charging,Eclipse User
44184,message #143378,EclipseZone non update times-11/4-12/16,Fred Grott
44185,message #143380,"ROM spec - ""Multi Line Data"" is this the same as ""Dynamic Text""?",Eclipse User
44186,message #143382,How to fold Java if/while etc.?,Eclipse User
44187,message #143385,Team API Documentation,Eclipse User
44188,message #143389,Changing the order of menu items,Eclipse User
44189,message #143390,Unable to use Dataset on stored procedure,emmanuel
44190,message #143394,Modeling Assistant Provider - Suppressing existing connection handles,Eclipse User
44191,message #143401,Accessiblity How to see a Java breakpoint using the Keyboard,Eclipse User
44192,message #143406,why is this newsgroup empty??,Eclipse User
44193,message #143420,Connection to a shortcut,Eclipse User
44194,message #143422,Amazing Indexer syntax error,Eclipse User
44195,message #143425,Modeling Information about JDT plug-in needed for making an extension of JDT,Charles-Philip Bentley
44196,message #143427,News?,Kai Schlamp
44197,message #143429,Creating tables with vertical scrollbars,Carlos Dias
44198,message #143433,AutoActivation not working with M4,Akmal
44199,message #143434,Flakiness of web services tools,Jeff Shirley
44200,message #143436,VE for eclipse 3.3.1,raju
44201,message #143439,Changing the attributes of a cell from a table,Cristian Popescu
44202,message #143441,Task Tree Diagram in GMF?,Eclipse User
44203,message #143451,Indexer in CDT 3.0 Beta,Eclipse User
44204,message #143454,tab width in ant build.xml file,Eclipse User
44205,message #143455,Create a new element programmatically when an attribute changes,Eclipse User
44206,message #143461,[BUG] Invalid overload of the Name  ... ?,Eclipse User
44207,message #143462,Select all from Text widget,Eclipse User
44208,message #143466,Re: Cannot install Visual Editor,Eclipse User
44209,message #143469,About ManhattanConnectionRouter,Eclipse User
44210,message #143470,Global Includes not considered,Eclipse User
44211,message #143471,Problem with IResourceChangeEvent ??,Mohsin Beg
44212,message #143473,problems launching debugger,Eclipse User
44213,message #143475,Show simple classes in  Visual Editor,Eclipse User
44214,message #143476,Problems using extension-point 'aggregation',Eclipse User
44215,message #143488,Crash when opening properties,Eclipse User
44216,message #143491,Eclipse2.0 Plugin integration with 3.1,Eclipse User
44217,message #143492,eclipse 2.1.1 an d win 95,Eclipse User
44218,message #143493,Suddenly VE stopped working,Eclipse User
44219,message #143496,GEF and RCP application Help,Eclipse User
44220,message #143498,Problem with custom figure when extending from NodeFigure...,Eclipse User
44221,message #143499,CDT Build Source Code?,Xavier RodrÃ­guez
44222,message #143501,IViewActionDelegate and TableViewer,Eclipse User
44223,message #143507,accessibility:  selecting text using keyboard,jose vilmar estacio de souza
44224,message #143511,Classpath issue with v3.0m4,Mitch Christensen
44225,message #143512,VE No longer Finding SWT Beaninfo,Eclipse User
44226,message #143513,"Drag from a view, drop onto the diagram, and create a node",Vincent Zurczak
44227,message #143516,State switch,Eclipse User
44228,message #143525,Creating key binding for a particular scope,Eclipse User
44229,message #143529,the page x of y issue,Eclipse User
44230,message #143530,Extension point to add a working set to 'Project Explorer',Eclipse User
44231,message #143532,Where's the M4 N&N article?,David Corbin
44232,message #143535,How to use GEF with RCP,Eclipse User
44233,message #143538,Who knows about data sources?,Eclipse User
44234,message #143543,Name of Content Comparison Editor,Phil Muldoon
44235,message #143547,Error to view the PDF,Eclipse User
44236,message #143548,Problem with PrintAction,Eclipse User
44237,message #143550,Eclipse compiling with Mono,Eclipse User
44238,message #143552,"Debugger ""Drop to frame""",Eclipse User
44239,message #143558,Change value of a model element on deleting connection,Julien Forot
44240,message #143560,How to provide context-sensitive help for a view,Eclipse User
44241,message #143561,get Actions of a perspective,Eclipse User
44242,message #143563,Lauching Eclipse from UNIX,Eclipse User
44243,message #143570,options not honored on cvs checkout,Jon Nall
44244,message #143577,Call tree plug-in for C/C++?,Eclipse User
44245,message #143585,Compartment - Connection - Layout,Jacques LESCOT
44246,message #143587,Debugging lpc2138 arm7 through Eclipse,Eclipse User
44247,message #143591,JNDI Connection,Eclipse User
44248,message #143595,adding sources and scoping...,Eclipse User
44249,message #143598,Connected Nodes and Compartments,Eclipse User
44250,message #143599,Converting managed project to standard project,Eclipse User
44251,message #143608,packaging ressources inside a plugin,Eclipse User
44252,message #143610,TPTP,Eclipse User
44253,message #143613,Help with Filtering Views,Eclipse User
44254,message #143617,WorkbenchPart.setTitleToolTip doesn't work,Eclipse User
44255,message #143621,Horrendous performance 0.7.1 - will it get better,Neale Upstone
44256,message #143624,how to implements call hierarchy,Eclipse User
44257,message #143625,Downloading 2.1 M5: File Not Found,Eclipse User
44258,message #143626,Create a complex figure on eclipse 3.3,Eclipse User
44259,message #143628,how to implements call hierarchy,Eclipse User
44260,message #143627,OASIS - XML Catalogs,Eclipse User
44261,message #143632,A problem about link's label,Eclipse User
44262,message #143634,Embedded web application,Eclipse User
44263,message #143635,3.0M7 strange error: type java.io.Serializable cannot be resolved,Eclipse User
44264,message #143637,Mindmap Tutorial: Positioning of the ThreadItems,Eclipse User
44265,message #143646,Diagram layout type problem,Eclipse User
44266,message #143648,The active editor does not contain a main type.,Eclipse User
44267,message #143649,Regarding the Integration of Birt into Web Application,Eclipse User
44268,message #143651,Adding Drag 'n Drop using org.eclipse.gmf.runtime.common.ui.services.dnd,Eclipse User
44269,message #143654,"Eclipse, Xerces, and 1.4 VMs",Eclipse User
44270,message #143656,Request for a complete Taipan zip file,Eclipse User
44271,message #143661,Reg : Pagenation in BIRT,Eclipse User
44272,message #143667,Dam!  Eclipse is Nice !,Eclipse User
44273,message #143670,m7 - illegalthreadstateexception,Eclipse User
44274,message #143673,Can birt be used in eclipse 3.2.4?,Eclipse User
44275,message #143675,PDE: NoClassDefFoundError,Eclipse User
44276,message #143677,key bindings,foo bar
44277,message #143680,Integrate Birt in RCP,Eclipse User
44278,message #143682,PDFRenderOption - missing...?,Artek
44279,message #143685,export csv still in gibbrish?,Eclipse User
44280,message #143686,fonts in PDF,Eclipse User
44281,message #143687,how to change colour of item if value over a certain amount.,Simon Hobbs
44282,message #143688,"anyone know what a ""named Expression"" is?",Simon Hobbs
44283,message #143690,Forbid selection of an Node,Dawid Kostrzycki
44284,message #143691,Load and open a diagram editor from the xml file,Oelerink
44285,message #143696,Updating the Model File reference in Diagram FIle,Eclipse User
44286,message #143698,editing domain model with diagram editor,Eclipse User
44287,message #143699,Registration of Editparts as listeners for handleNotificationEvent,Dawid Kostrzycki
44288,message #143701,detect if a diagram has errors,Tex Twil
44289,message #143702,Diagram over two or more model instances,Eclipse User
44290,message #143703,How to get the instance of XXXDiagramEditor at runtime?,Eclipse User
44291,message #143706,IFigure remove method / where to place cleanup stuff,Stefan Kuhn
44292,message #143711,html table edit policy,Eclipse User
44293,message #143714,standalone SWT versus RCP,Eclipse User
44294,message #143721,Passing a style to a CellEditor from the property its editing,Eclipse User
44295,message #143723,Where to get info on Containment Policy for custom widgets,Eclipse User
44296,message #143728,CDTProject already exists?,Eclipse User
44297,message #143729,About Action,zhang wei
44298,message #143737,Current File in Editor for Makefile,Eclipse User
44299,message #143738,Alternative to Draw2D BorderLayout?,Eclipse User
44300,message #143742,Static Library,Eclipse User
44301,message #143745,Run->External Tools is empty,Eclipse User
44302,message #143750,Error: java.lang.UnsatisfiedLinkError: libspawner: file not found,Eclipse User
44303,message #143751,UpdateAction in GEF 2.0.3 (see Redbook sample)?,Eclipse User
44304,message #143757,Transparent AWT component on freeform,Eclipse User
44305,message #143758,multiple main programs in a C project,Eclipse User
44306,message #143762,VISUAL EDITOR,Eclipse User
44307,message #143761,ClassCasteException when working with tutoial,Marc Boorshtein
44308,message #143770,eclipse on a stick,Vince O'Sullivan
44309,message #143772,Tutorial : BIRT Design Engine API : Problem,Eclipse User
44310,message #143773,Can't build C++ project.,Eclipse User
44311,message #143774,Bring to Front,Eclipse User
44312,message #143780,VE for Eclipse 3.3,Yves YANG
44313,message #143781,guide to compile GTK+ programm,Eclipse User
44314,message #143782,setEngineHome() ?,Eclipse User
44315,message #143783,CppUnit Plugin,Eclipse User
44316,message #143785,Build VE for Eclipse 3.3,Yves YANG
44317,message #143788,Page break  resets line count??,Mark Lorenz
44318,message #143791,VS Style Immediates In Eclipse,Eclipse User
44319,message #143792,Debugging standard C app via Cygwin,Eclipse User
44320,message #143795,Thanks for VE,Eclipse User
44321,message #143796,code completion for user typed text,Eclipse User
44322,message #143800,C/C++ Indexer Problem???,No real name
44323,message #143801,SWT Graphics + gradient colors for shapes,Eclipse User
44324,message #143802,CVS project,Eclipse User
44325,message #143805,"MSys (CYGWIN?), CDT and ECLIPSE",Eclipse User
44326,message #143806,Uniform Application servers instead of Plugins,Eclipse User
44327,message #143807,CompoundDirectedGraphLayout and left-to-right ordering,Eclipse User
44328,message #143814,VE not working after installing WST,Eclipse User
44329,message #143815,Debugger messages overwritten in the console,Michael Stather
44330,message #143820,Debugger can´t find files in subfolders,Michael Stather
44331,message #143822,Snap to Grid and arrow keys,J Schofield
44332,message #143824,Create a library with cdt,Eclipse User
44333,message #143830,"I don't see the ""Visual Class"" option after installation",Eclipse User
44334,message #143831,No starting after JBuilder Foundation install,Eclipse User
44335,message #143834,VE and JBoss,Eclipse User
44336,message #143837,[cdt] Code Formatting,peter
44337,message #143843,Doing math on data from different databases,Eclipse User
44338,message #143847,Defining file as binary,Eclipse User
44339,message #143852,VE not being showed suddenly,Eclipse User
44340,message #143853,2.1M5 problem: oda extension no longer works,Eclipse User
44341,message #143858,launching a binary that's not in the project?,Eclipse User
44342,message #143861,One project depends on another,Eclipse User
44343,message #143863,Problems with XML Editor and WE,Eclipse User
44344,message #143865,jar after compile,Eclipse User
44345,message #143869,swing tutorial,Eclipse User
44346,message #143873,"About ""org.eclipse.gef.ui.stackview.CommandStackInspectorPage""",zhang wei
44347,message #143876,Problem installing 2.1M5 on Eclipse 3.1.2,Eclipse User
44348,message #143878,Different GEF version cannot live together,Eclipse User
44349,message #143880,Focus on Visual Editor,Alberto 
44350,message #143882,Printing under Linux,Eclipse User
44351,message #143883,ErrorParserManager & case sensetive!,Xavier RodrÃ­guez
44352,message #143884,"Can I position PolylineConnection end point anywhere on the Figure ( ie, inside the boundary of Figu",Eclipse User
44353,message #143886,Stopping display of local beans.,Eclipse User
44354,message #143892,Would someone please help?,Eclipse User
44355,message #143893,"How to display the grid lines in the ""Table""?",Eclipse User
44356,message #143894,Editor integration with Eclipse CDT,Eclipse User
44357,message #143896,Parser error and a best practice,Marco Maniscalco
44358,message #143902,Question about CDT.Core parser plugability,Alexey Sidelnikov
44359,message #143906,CSV datasource with semicolons,Eclipse User
44360,message #143904,How does build work?,Eclipse User
44361,message #143909,scripted data source,Julio MuÃ±oz
44362,message #143910,"Validation problem (No parser is registered for the ""OCL"" language)",Eclipse User
44363,message #143917,Search whole word in many files,No real name
44364,message #143918,extending/overriding source code generation i,Eclipse User
44365,message #143924,Best way to serialize a diagram,Eclipse User
44366,message #143929,Naming Conventions,swetha
44367,message #143930,WEB App Debugging - No Source View,Eclipse User
44368,message #143931,how to split edit view,Eclipse User
44369,message #143932,M7 vertical toolbars,Eclipse User
44370,message #143933,org.eclipse.gef.dnd.DelegatingDropAdapter,Maged Elaasar
44371,message #143937,StackOverflowError with shared EditingDomain,Andrew J. Montalenti
44372,message #143938,Invisible Text?,Eclipse User
44373,message #143942,Hide series label when series value equals zero?,elin
44374,message #143943,attaching source hangs for 5 minutes,Eclipse User
44375,message #143948,newbie making pde:NoClassDef when using 3rd party jar,Eclipse User
44376,message #143950,Making eclipse work with wxWindows,Eclipse User
44377,message #143951,XML Data Source help!!,Julio MuÃ±oz
44378,message #143953,Group Layout Support for VE,Eclipse User
44379,message #143954,WebSphere 6 and WTP 0.7,Eclipse User
44380,message #143955,Layout Best Practice?,Eclipse User
44381,message #143960,generating dll,Eclipse User
44382,message #143963,Which Policy for handling CreateRequest?,Eclipse User
44383,message #143967,How to use CDT parser in a standlone application(non-plugin)?,Eclipse User
44384,message #143966,Hiding connections in collapsed compartment,Johannes Utzig
44385,message #143971,Dependency Check and automatic download,Eclipse User
44386,message #143979,NoSuchMethodError with Eclipse 3.1.1 and WTP 0.7.1,Thomas Dudziak
44387,message #143982,GMF Internals,Eclipse User
44388,message #143984,switching the active window event,Elwin
44389,message #143987,My vision for SWT editors,David  Pérez
44390,message #143988,WebSphere 6.0.2.1 & WTP 0.7 & Eclipse 3.1,Eclipse User
44391,message #143996,How to create new control object on context menu.,Eclipse User
44392,message #143999,uml2Model VS genmodel,Pawan
44393,message #144006,My tip for how to improve RCP,Eclipse User
44394,message #144008,Search/browse Java documentation in Eclipse?,Eclipse User
44395,message #144025,WTP to Maven transfer,Eclipse User
44396,message #144026,Idiot can't start software up.,Eclipse User
44397,message #144031,line break in data fields,Eclipse User
44398,message #144033,Logic Example...,Eclipse User
44399,message #144034,Generated JSP code,Eclipse User
44400,message #144037,Overriding CTRL-SHIFT-B key binding,Eclipse User
44401,message #144041,HELP: BIRT masterpages and multiple reports,Cristian Popescu
44402,message #144042,JUnit And Test Data Under Eclipse,Bill Winspur
44403,message #144044,WTP 0.8 via update,Eclipse User
44404,message #144046,Standalone or plug-in project,Sai [Srinivasan Sairam]
44405,message #144050,CGLIB enhanced class in Scripted DataSource using Java Classes,Joshua Kafeero
44406,message #144052,Generating project files,Eclipse User
44407,message #144054,WSDL file generated by WTP,Eclipse User
44408,message #144056,3.0M6-7: Smart insert brace insertion/completion doesn't respect code formatter settings,Eclipse User
44409,message #144057,Missing shortcut icon on deployment,Eclipse User
44410,message #144058,"<toc label=""..""> with <anchor> and <link_to>",Eclipse User
44411,message #144059,Exceptions when generating a report,Steve Gutz
44412,message #144063,WTP 0.7.1 SQL Workbench Bug,Tommy Vercetti
44413,message #144067,[JFace] - API's are excrutiatingly painful to use and border on useless.,Philip Denno
44414,message #144070,Modifying properties through use of BeanInfo classes,Brandon Heck
44415,message #144072,adding jars to project,Zohar Amir
44416,message #144078,Opening existing Tomcat project,Eclipse User
44417,message #144080,Tutorials on VE,Alberto Rogora
44418,message #144082,How to know project type programatically?,Xavier RodrÃ­guez
44419,message #144086,Locale/Time Zone question,Todd Borax
44420,message #144087,Palette Right Click,Eclipse User
44421,message #144088,Control of views/perspectives,Eclipse User
44422,message #144094,Building a tree using GEF?,Marc Boorshtein
44423,message #144097,Dialogs for generating custom constructor code,BrandonR
44424,message #144098,Jtree in eclipseŽs workbench,Eclipse User
44425,message #144105,The BIRT Contest - Want to win a Sony PSP?,Krishna Venkatraman
44426,message #144108,graphical SWT development,Eclipse User
44427,message #144109,Genmodel,Pawan
44428,message #144110,Unique attribute value with Audit rules,Julien Forot
44429,message #144114,BIRT subreports,Steve Gutz
44430,message #144116,Problems getting 'anything' to be served by Tomcat 5.5,Russell Dodd
44431,message #144117,Genmodel,Pawan
44432,message #144118,How can I display a grid as a background in the VE?,Eclipse User
44433,message #144120,[Draw2D] Circle/Oval Layout?,Eclipse User
44434,message #144126,Displaying the absolute path to a project,Eclipse User
44435,message #144127,How can I display a JDialog in the VE?,Eclipse User
44436,message #144134,PLEASE HELP: ResourceChangeEvent !!,Mohsin Beg
44437,message #144135,how can I create menubar in an SWT application,Eclipse User
44438,message #144136,How can I force the VE to display a property's real value?,Eclipse User
44439,message #144144,Can't use visual editor after installation,Eclipse User
44440,message #144153,Running several JVMs in Eclipse,Eclipse User
44441,message #144155,ZoomManager does not contain FIT_ALL,Eclipse User
44442,message #144156,Outline View,Eclipse User
44443,message #144159,"3.0m7 build  200310101454 - read file in: ""c:\Program Files"" fails when using getResource",Eclipse User
44444,message #144161,Installation location from BaseInstallHandler,Roberto Scaramuzzi
44445,message #144165,Program not a recognized executable?,Eclipse User
44446,message #144173,Over riding an existing action,Eclipse User
44447,message #144180,jar execution - classnotfound,Eclipse User
44448,message #144183,[One for Tim DeBoer?] can't do derived project since removal of .deployables,Neale Upstone
44449,message #144186,debug error mi_cmd_env_cd,George
44450,message #144187,more documentation on refactoring source code?,Eclipse User
44451,message #144194,DiagramFileCreator /GMF 2.0,Eclipse User
44452,message #144195,howto get things running?,Eclipse User
44453,message #144197,Changing the color of numbers in the Editor,Eclipse User
44454,message #144199,reports using Derby database don't work with glassfish server,Vladimir
44455,message #144200,How does initialize() work?,Eclipse User
44456,message #144203,Dragging of external Label creates a new View,Eclipse User
44457,message #144206,"How to use String.format (""someformat"",...)",Eclipse User
44458,message #144208,NoClassDefFoundError: org/eclipse/emf/ecore/EObject,Mark Lorenz
44459,message #144212,cross compiler,Eclipse User
44460,message #144215,Code of GMF diagram,Marc Gil
44461,message #144218,BIRT breaks even when page break occurs,Mark Lorenz
44462,message #144220,How do I create Figures that look like SWT controls?,Sean Neeley
44463,message #144221,Error: The resource tree is locked for modifications,ken zhang
44464,message #144224,"""Unknown respone from server"" on import from CVS",Eclipse User
44465,message #144226,Bar Chart Question,Eclipse User
44466,message #144229,install plugin,Eclipse User
44467,message #144230,Graph Layout?,Eclipse User
44468,message #144231,Change ${date} format?,Eclipse User
44469,message #144232,M4 IRemoteResource api question,Eclipse User
44470,message #144233,How do I post/read to pde-build-dev@eclipse.org?,J F
44471,message #144238,Setting tab behavior for all editors,Eclipse User
44472,message #144239,xml Folding,Brian Jakubik
